App Name,Rating,Installs,url,Developers Website
Global Citizen,3.726547003,100000.0,,
Twitter,4.311233997,500000000.0,https://play.google.com/store/apps/details?id=com.twitter.android,
SiriusXM,4.316278458,10000000.0,,
"iHeartRadio - Free Music, Radio & Podcasts",4.661151886,50000000.0,,
LogMeIn,3.966305494,1000000.0,https://play.google.com/store/apps/details?id=com.logmein.ignitionpro.android,
"Canva: Graphic Design & Logo, Flyer, Poster maker",4.759311199,10000000.0,,
"edX - Online Courses by Harvard, MIT, Microsoft",4.614418983,1000000.0,,
"Inkitt � Free Fiction Books, Novels & Stories",4.533639431,500000.0,,
Coinbase � Buy & Sell Bitcoin. Crypto Wallet.,4.256000519,5000000.0,,
LevelUp: Order food ahead and never wait in line,4.48503828,100000.0,,
LightInTheBox Online Shopping,3.999083996,5000000.0,https://play.google.com/store/apps/details?id=com.lightinthebox.android,
Kahoot!,4.23511076,10000000.0,https://play.google.com/store/apps/details?id=no.mobitroll.kahoot.android,
Aaptiv: #1 Audio Fitness App,3.615491867,1000000.0,,
"BuzzFeed: News, Tasty, Quizzes",4.315285683,5000000.0,,
Edmodo,4.156815529,10000000.0,https://play.google.com/store/apps/details?id=com.fusionprojects.edmodo,
"MasterClass: Learn How To Cook, Sing, Act and More",4.769716263,100000.0,,
